coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
672791,"S. Shaya, A. Rodrigues",,"December 20, 2013",,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:dd7e858b-42b9-4099-810f-97b77b8e5b58,"2014-05-30 15:49:05"
672791,"Andrew Salywon, 6/1998",,unknown,,"Lesquerella tenella",0,"A. Nels.",,,,,,,urn:uuid:432aab62-df6f-4045-9502-5bf78c5d59fd,"2014-05-30 15:49:05"
694505,"S. Shaya, A. Rodrigues",,"December 20, 2013",,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:6af3deb2-5f50-4ebb-8b73-bf5b7bd1b62f,"2014-05-30 16:02:32"
694505,unknown,,unknown,,"Conopholis alpina var. mexicana",0,"(Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:90788db3-0250-4125-9b16-021ed20e0650,"2014-05-30 16:02:32"
1918599,"Turner Collins",,2016,,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:8253c86f-a400-4785-9e6c-9a97a276e421,"2016-01-05 10:42:10"
1918599,unknown,,unknown,,"Orobanche ludoviciana subsp. multiflora",0,"(Nutt.) Collins, comb. nov. ined.",,,,,,,urn:uuid:a379392c-498f-4709-af9f-0634a45383a7,"2016-01-05 10:42:10"
4568044,"D.J. Pinkava",,1973,,"Conopholis mexicana",0,"Gray ex S. Wats.",,,,,,,urn:uuid:2c678f38-978a-432f-8f16-722c1557aac7,"2014-08-19 11:30:25"
4568046,"S. Shaya",,"December 20, 2013",,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:4ad54c02-20aa-468f-81f7-95f35fe13dbe,"2014-08-19 11:37:18"
4568046,"D.J. Pinkava",,unknown,,"Conopholis alpina var. mexicana",0,"(A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:94fce4e7-18f5-4ed6-b125-dc74c6767cb5,"2014-08-19 11:37:18"
4604320,"S. Shaya & A. Rodrigues",,2013,,"Conopholis americana",1,Wallr.,,,,,,,urn:uuid:67f7095b-1551-4ec9-8b16-283dc8f81e8b,"2014-11-08 18:17:48"
4604320,"S. Clemants",,unknown,,"Conopholis alpina",0,Liebm.,,,,,,,urn:uuid:4d04b9f6-5552-481a-951b-be1800e7e14b,"2014-11-08 18:17:48"
4604321,"S. Shaya & A. Rodrigues",,"December 20, 2013",,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:d98418b2-ec53-4e15-9142-4d9d057d073c,"2014-11-08 18:13:50"
4604321,unknown,,unknown,,"Conopholis mexicana",0,"Gray ex S. Wats",,,,,,,urn:uuid:aea89134-7baf-4fc4-8bae-e517d99bbed9,"2014-11-08 18:13:50"
4604323,"S. Shaya & A. Rodrigues",,2013,,"Conopholis americana",1,Wallr.,,,,,,,urn:uuid:a2721224-a652-4b57-97e7-d218b8100a4e,"2014-11-08 18:20:33"
4604323,"E. Lehto",,unknown,,"Conopholis alpina var. mexicana",0,"(A. Gray ex S. Wats.) Haynes",,,,,,,urn:uuid:506200f4-ad44-409c-a7c7-7a28ceec338d,"2014-11-08 18:20:33"
8083439,"S. Shaya, A. Rodrigues",,"December 20, 2013",,"Conopholis alpina",1,Liebm.,,,,,,,urn:uuid:9442190b-d4cd-4c77-a4af-46ab0b2eb846,"2014-05-30 15:57:46"
